"link","Node","relative_influence","Solution","LandUse","rank","cum_sum"
"Flooding -* Flooding","Physical health",0.796445009691413,"gray","Industrial",14,67.1692618799538
"Water temperature -* Water quality","Physical health",0.756235295944035,"gray","Industrial",15,67.9254971758978
"Toxics -* Toxics","Physical health",0.727412591061858,"gray","Industrial",16,68.6529097669596
"Economic wellbeing -> Physical health","Physical health",0.712706984749884,"gray","Industrial",17,69.3656167517095
"Bacteria -* Bacteria","Physical health",0.693940787661076,"gray","Industrial",18,70.0595575393706
"Green infrastructure -* Noise","Physical health",0.66586062888326,"gray","Industrial",19,70.7254181682539
"Urban heat island -* Urban heat island","Physical health",0.658211640168732,"gray","Industrial",20,71.3836298084226
"Noise -* Mental health","Physical health",0.655800916185458,"gray","Industrial",21,72.0394307246081
"Bacteria -* Physical health","Physical health",0.629160194130653,"gray","Industrial",22,72.6685909187387
"Noise -* Social cohesion","Physical health",0.593358600091063,"gray","Industrial",23,73.2619495188298
"Nutrients -* Nutrients","Physical health",0.592239348744118,"gray","Industrial",24,73.8541888675739
"Climate mitigation -> Salmon","Physical health",0.57996936371132,"gray","Industrial",25,74.4341582312852
"Salmon -> Biodiversity","Physical health",0.556020359466443,"gray","Industrial",26,74.9901785907517
"Industrial -> Urban heat island","Physical health",0.487833892380597,"gray","Industrial",27,75.4780124831322
"Industrial -> Toxics","Physical health",0.482209194381278,"gray","Industrial",28,75.9602216775135
"Physical health -> Mental health","Physical health",0.469929224065622,"gray","Industrial",29,76.4301509015792
"Industrial -> Sediment","Physical health",0.458398576473097,"gray","Industrial",30,76.8885494780522
"Toxics -* Water quality","Physical health",0.455581704955747,"gray","Industrial",31,77.344131183008
"Walkability -> Property value","Physical health",0.453294064209315,"gray","Industrial",32,77.7974252472173
"Green infrastructure -> Climate mitigation","Physical health",0.435372220547049,"gray","Industrial",33,78.2327974677644
"Water quality -* Water quality","Physical health",0.434941636649774,"gray","Industrial",34,78.6677391044141
"Source control -* Toxics","Physical health",0.428483098651627,"gray","Industrial",35,79.0962222030658
"Local jobs -> Economic wellbeing","Physical health",0.427712980185968,"gray","Industrial",36,79.5239351832517
"Green infrastructure -> Access to nature","Physical health",0.406404139541642,"gray","Industrial",37,79.9303393227934
"Residential -* Residential","Physical health",0.40586359249444,"gray","Industrial",38,80.3362029152878
"Green infrastructure -* Sediment","Physical health",0.403330875065653,"gray","Industrial",39,80.7395337903535
"Transportation -* Air quality","Physical health",0.397165902053009,"gray","Industrial",40,81.1366996924065
"Access to nature -* Affordability","Physical health",0.396299214474383,"gray","Industrial",41,81.5329989068808
"Water quality -> Biodiversity","Physical health",0.375052977917194,"gray","Industrial",42,81.908051884798
"Urban heat island -> Water temperature","Physical health",0.374883905208116,"gray","Industrial",43,82.2829357900062
"Transportation -> Noise","Physical health",0.354485225430191,"gray","Industrial",44,82.6374210154364
"Green infrastructure -* Green infrastructure","Physical health",0.344434945878276,"gray","Industrial",45,82.9818559613146
"Water quality -> Salmon","Physical health",0.337800082410653,"gray","Industrial",46,83.3196560437253
"Green infrastructure -* Flooding","Physical health",0.328269219448818,"gray","Industrial",47,83.6479252631741
"Flooding -> Bacteria","Physical health",0.317065344440893,"gray","Industrial",48,83.964990607615
"Local foods -> Social cohesion","Physical health",0.315082171146463,"gray","Industrial",49,84.2800727787615
"Water quality -> Social cohesion","Physical health",0.305809167459166,"gray","Industrial",50,84.5858819462206
"Climate mitigation -* Water temperature","Physical health",0.299375637770499,"gray","Industrial",51,84.8852575839911
"Transportation -* Transportation","Physical health",0.294129249241143,"gray","Industrial",52,85.1793868332323
"Flooding -> Sediment","Physical health",0.291049127987636,"gray","Industrial",53,85.4704359612199
"Biodiversity -> Local foods","Physical health",0.290151985473828,"gray","Industrial",54,85.7605879466937
"Property value -> Economic wellbeing","Physical health",0.281346287800567,"gray","Industrial",55,86.0419342344943
"Noise -* Physical health","Physical health",0.280043349028738,"gray","Industrial",56,86.321977583523
"Water quality -> Local foods","Physical health",0.279645570452073,"gray","Industrial",57,86.6016231539751
"Transportation -> Urban heat island","Physical health",0.278230836843477,"gray","Industrial",58,86.8798539908186
"Industrial -> Water temperature","Physical health",0.276056438507241,"gray","Industrial",59,87.1559104293258
"Transportation -> Toxics","Physical health",0.271980629515313,"gray","Industrial",60,87.4278910588411
"Access to nature -> Social cohesion","Physical health",0.271453938633787,"gray","Industrial",61,87.6993449974749
"Industrial -> Noise","Physical health",0.264271043138297,"gray","Industrial",62,87.9636160406132
"Local jobs -* Local jobs","Physical health",0.257610952882452,"gray","Industrial",63,88.2212269934957
"Access to nature -> Physical health","Physical health",0.255821565653333,"gray","Industrial",64,88.477048559149
"Access to nature -> Property value","Physical health",0.252239187187147,"gray","Industrial",65,88.7292877463362
"Residential -> Toxics","Physical health",0.247544695389344,"gray","Industrial",66,88.9768324417255
"Access to nature -> Mental health","Physical health",0.246432119216511,"gray","Industrial",67,89.223264560942
"Physical health -> Economic wellbeing","Physical health",0.245165793779191,"gray","Industrial",68,89.4684303547212
"Gray infrastructure -> Local jobs","Physical health",0.239895567410235,"gray","Industrial",69,89.7083259221314
"Economic wellbeing -> Affordability","Physical health",0.237773840568453,"gray","Industrial",70,89.9460997626999
"Green infrastructure -> Local jobs","Physical health",0.237015112104768,"gray","Industrial",71,90.1831148748047
"Mental health -* Mental health","Physical health",0.231004842573986,"gray","Industrial",72,90.4141197173786
"Urban heat island -* Physical health","Physical health",0.227087700618311,"gray","Industrial",73,90.641207417997
"Local jobs -> Social cohesion","Physical health",0.226362833215391,"gray","Industrial",74,90.8675702512123
"Social cohesion -> Mental health","Physical health",0.224384774868475,"gray","Industrial",75,91.0919550260808
"Access to nature -> Local foods","Physical health",0.224265567953243,"gray","Industrial",76,91.3162205940341
"Noise -* Biodiversity","Physical health",0.219963640256589,"gray","Industrial",77,91.5361842342906
"Green infrastructure -> Air quality","Physical health",0.219873546778295,"gray","Industrial",78,91.7560577810689
"Residential -> Nutrients","Physical health",0.219820941641096,"gray","Industrial",79,91.97587872271
"Nutrients -* Water quality","Physical health",0.219310958561677,"gray","Industrial",80,92.1951896812717
"Flooding -* Air quality","Physical health",0.218197827644569,"gray","Industrial",81,92.4133875089163
"Transportation -> Property value","Physical health",0.21450428352045,"gray","Industrial",82,92.6278917924367
"Air quality -> Physical health","Physical health",0.214431727778679,"gray","Industrial",83,92.8423235202154
"Affordability -* Affordability","Physical health",0.211282196715401,"gray","Industrial",84,93.0536057169308
"Residential -> Bacteria","Physical health",0.206925803753328,"gray","Industrial",85,93.2605315206841
"Walkability -* Noise","Physical health",0.204641039601487,"gray","Industrial",86,93.4651725602856
"Local foods -> Mental health","Physical health",0.201906894508382,"gray","Industrial",87,93.667079454794
"Local foods -> Affordability","Physical health",0.201617576941894,"gray","Industrial",88,93.8686970317359
"Mental health -> Physical health","Physical health",0.201600623033653,"gray","Industrial",89,94.0702976547696
"Walkability -> Social cohesion","Physical health",0.190069850530845,"gray","Industrial",90,94.2603675053004
"Green infrastructure -* Urban heat island","Physical health",0.189409787943496,"gray","Industrial",91,94.4497772932439
"Biodiversity -> Salmon","Physical health",0.187923837887953,"gray","Industrial",92,94.6377011311318
"Flooding -* Property value","Physical health",0.186635402975883,"gray","Industrial",93,94.8243365341077
"Urban heat island -* Biodiversity","Physical health",0.185122325670614,"gray","Industrial",94,95.0094588597783
"Green infrastructure -* Toxics","Physical health",0.181906645575456,"gray","Industrial",95,95.1913655053538
"Social cohesion -* Social cohesion","Physical health",0.176526825989495,"gray","Industrial",96,95.3678923313433
"Walkability -> Air quality","Physical health",0.174606660189364,"gray","Industrial",97,95.5424989915327
"Access to nature -> Walkability","Physical health",0.174385093859242,"gray","Industrial",98,95.7168840853919
"Bacteria -* Local foods","Physical health",0.171279808338856,"gray","Industrial",99,95.8881638937308
"Industrial -* Air quality","Physical health",0.165904966430753,"gray","Industrial",100,96.0540688601615
"Economic wellbeing -* Economic wellbeing","Physical health",0.159447165112689,"gray","Industrial",101,96.2135160252742
"Bacteria -* Water quality","Physical health",0.157318479581318,"gray","Industrial",102,96.3708345048555
"Physical health -* Physical health","Physical health",0.152412480805507,"gray","Industrial",103,96.523246985661
"Walkability -> Climate mitigation","Physical health",0.150034422128851,"gray","Industrial",104,96.6732814077899
"Climate mitigation -* Climate mitigation","Physical health",0.143951916748441,"gray","Industrial",105,96.8172333245383
"Water quality -> Physical health","Physical health",0.139565713407411,"gray","Industrial",106,96.9567990379457
"Source control -* Source control","Physical health",0.137700303666518,"gray","Industrial",107,97.0944993416122
"Mental health -> Economic wellbeing","Physical health",0.137553121611673,"gray","Industrial",108,97.2320524632239
"Walkability -> Affordability","Physical health",0.135996163811529,"gray","Industrial",109,97.3680486270354
"Toxics -* Biodiversity","Physical health",0.135422624748098,"gray","Industrial",110,97.5034712517836
"Walkability -> Physical health","Physical health",0.133215609969857,"gray","Industrial",111,97.6366868617534
"Transportation -> Water temperature","Physical health",0.132040245565487,"gray","Industrial",112,97.7687271073189
"Toxics -* Physical health","Physical health",0.129136175454512,"gray","Industrial",113,97.8978632827734
"Air quality -> Social cohesion","Physical health",0.127438417782877,"gray","Industrial",114,98.0253017005563
"Property value -* Affordability","Physical health",0.123794575575361,"gray","Industrial",115,98.1490962761316
"Property value -* Property value","Physical health",0.123144255123823,"gray","Industrial",116,98.2722405312555
"Affordability -> Economic wellbeing","Physical health",0.122831336133329,"gray","Industrial",117,98.3950718673888
"Local jobs -> Property value","Physical health",0.121974405586407,"gray","Industrial",118,98.5170462729752
"Salmon -> Local foods","Physical health",0.116590769002623,"gray","Industrial",119,98.6336370419778
"Toxics -* Salmon","Physical health",0.116209216190546,"gray","Industrial",120,98.7498462581684
"Flooding -* Salmon","Physical health",0.114383101507179,"gray","Industrial",121,98.8642293596755
"Sediment -* Water quality","Physical health",0.113748937590243,"gray","Industrial",122,98.9779782972658
"Residential -> Sediment","Physical health",0.112819809834719,"gray","Industrial",123,99.0907981071005
"Access to nature -* Access to nature","Physical health",0.10809468217405,"gray","Industrial",124,99.1988927892746
"Transportation -> Flooding","Physical health",0.103950245926276,"gray","Industrial",125,99.3028430352008
"Salmon -> Physical health","Physical health",0.101775910232272,"gray","Industrial",126,99.4046189454331
"Salmon -* Salmon","Physical health",0.0971353149514757,"gray","Industrial",127,99.5017542603846
"Climate mitigation -* Urban heat island","Physical health",0.0887046949709909,"gray","Industrial",128,99.5904589553556
"Biodiversity -* Biodiversity","Physical health",0.0847370273384354,"gray","Industrial",129,99.675195982694
"Air quality -* Air quality","Physical health",0.0804899581975421,"gray","Industrial",130,99.7556859408916
"Local foods -> Physical health","Physical health",0.0713670197822402,"gray","Industrial",131,99.8270529606738
"Industrial -> Local jobs","Physical health",0.0686098611436729,"gray","Industrial",132,99.8956628218175
"Walkability -* Walkability","Physical health",0.0560588935943461,"gray","Industrial",133,99.9517217154118
"Economic wellbeing -> Mental health","Physical health",0.0482782845882445,"gray","Industrial",134,100
"Industrial -* Industrial","Biodiversity",28.8202481333096,"green","Industrial",1,28.8202481333096
"Green infrastructure -* Green infrastructure","Biodiversity",14.9262548419304,"green","Industrial",2,43.74650297524
"Climate mitigation -* Climate mitigation","Biodiversity",3.63750176379561,"green","Industrial",3,47.3840047390356
"Climate mitigation -* Urban heat island","Biodiversity",2.64888723487148,"green","Industrial",4,50.0328919739071
"Flooding -* Flooding","Biodiversity",2.2636491021277,"green","Industrial",5,52.2965410760348
"Walkability -* Walkability","Biodiversity",2.20966470955257,"green","Industrial",6,54.5062057855874
"Access to nature -> Walkability","Biodiversity",2.14506320729139,"green","Industrial",7,56.6512689928787
"Green infrastructure -* Flooding","Biodiversity",1.89842853257859,"green","Industrial",8,58.5496975254573
"Industrial -> Toxics","Biodiversity",1.79750280678567,"green","Industrial",9,60.347200332243
"Green infrastructure -> Access to nature","Biodiversity",1.69350786379057,"green","Industrial",10,62.0407081960336
"Industrial -> Flooding","Biodiversity",1.42923198234501,"green","Industrial",11,63.4699401783786
"Sediment -* Sediment","Biodiversity",0.92852634075058,"green","Industrial",12,64.3984665191292
"Transportation -> Urban heat island","Biodiversity",0.79176097465173,"green","Industrial",13,65.1902274937809
"Walkability -> Climate mitigation","Biodiversity",0.76271544748459,"green","Industrial",14,65.9529429412655
"Access to nature -> Physical health","Biodiversity",0.753468968837411,"green","Industrial",15,66.7064119101029
"Green infrastructure -> Climate mitigation","Biodiversity",0.720448793772263,"green","Industrial",16,67.4268607038752
"Residential -> Bacteria","Biodiversity",0.701099592712856,"green","Industrial",17,68.127960296588
"Social cohesion -> Mental health","Biodiversity",0.67865070318089,"green","Industrial",18,68.8066109997689
"Physical health -> Mental health","Biodiversity",0.67057093634518,"green","Industrial",19,69.4771819361141
"Sediment -* Water quality","Biodiversity",0.665345491121706,"green","Industrial",20,70.1425274272358
"Access to nature -* Access to nature","Biodiversity",0.648698945784236,"green","Industrial",21,70.79122637302
"Flooding -> Bacteria","Biodiversity",0.575408247310789,"green","Industrial",22,71.3666346203308
"Bacteria -* Water quality","Biodiversity",0.564919101681674,"green","Industrial",23,71.9315537220125
"Walkability -* Noise","Biodiversity",0.550572718901386,"green","Industrial",24,72.4821264409139
"Source control -* Source control","Biodiversity",0.532661950936643,"green","Industrial",25,73.0147883918505
"Flooding -* Property value","Biodiversity",0.526028271030712,"green","Industrial",26,73.5408166628812
"Green infrastructure -* Sediment","Biodiversity",0.513219190266253,"green","Industrial",27,74.0540358531475
"Bacteria -* Local foods","Biodiversity",0.498584404641156,"green","Industrial",28,74.5526202577886
"Industrial -> Noise","Biodiversity",0.461951181049365,"green","Industrial",29,75.014571438838
"Gray infrastructure -> Local jobs","Biodiversity",0.460404419231847,"green","Industrial",30,75.4749758580699
"Climate mitigation -> Biodiversity","Biodiversity",0.455944240941455,"green","Industrial",31,75.9309200990113
"Urban heat island -* Urban heat island","Biodiversity",0.449143927765433,"green","Industrial",32,76.3800640267768
