"Link","ModelName","LandUse","Solution","Node","difference","difference_perc","Type"
"Urban heat island->Water temperature","Sims_Mod_88","Transportation","source","Access to nature",0,0,"human"
"Economic wellbeing->Mental health","Sims_Mod_89","Transportation","source","Access to nature",0,0,"human"
"Biodiversity->Local foods","Sims_Mod_90","Transportation","source","Access to nature",0,0,"human"
"Local jobs->Social cohesion","Sims_Mod_91","Transportation","source","Access to nature",0,0,"human"
"Access to nature->Local foods","Sims_Mod_92","Transportation","source","Access to nature",0,0,"human"
"Local foods->Mental health","Sims_Mod_93","Transportation","source","Access to nature",0,0,"human"
"Noise-*Social cohesion","Sims_Mod_94","Transportation","source","Access to nature",0,0,"human"
"Industrial-*Air quality","Sims_Mod_95","Transportation","source","Access to nature",0,0,"human"
"Industrial->Local jobs","Sims_Mod_96","Transportation","source","Access to nature",0,0,"human"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Transportation","source","Access to nature",0,0,"human"
"Industrial->Urban heat island","Sims_Mod_98","Transportation","source","Access to nature",0,0,"human"
"Transportation->Urban heat island","Sims_Mod_99","Transportation","source","Access to nature",0,0,"human"
"Green infrastructure-*Sediment","Sims_Mod_100","Transportation","source","Access to nature",0,0,"human"
"Physical health->Mental health","Sims_Mod_101","Transportation","source","Access to nature",0,0,"human"
"Salmon->Biodiversity","Sims_Mod_102","Transportation","source","Access to nature",0,0,"human"
"Physical health->Economic wellbeing","Sims_Mod_103","Transportation","source","Access to nature",0,0,"human"
"Economic wellbeing->Affordability","Sims_Mod_104","Transportation","source","Access to nature",0,0,"human"
"Mental health->Economic wellbeing","Sims_Mod_105","Transportation","source","Access to nature",0,0,"human"
"Residential->Toxics","Sims_Mod_1","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Toxics","Sims_Mod_2","Transportation","gray","Access to nature",0,0,"human"
"Transportation->Toxics","Sims_Mod_3","Transportation","gray","Access to nature",0,0,"human"
"Transportation->Water temperature","Sims_Mod_4","Transportation","gray","Access to nature",0,0,"human"
"Transportation->Flooding","Sims_Mod_5","Transportation","gray","Access to nature",0,0,"human"
"Residential->Nutrients","Sims_Mod_6","Transportation","gray","Access to nature",0,0,"human"
"Residential->Sediment","Sims_Mod_7","Transportation","gray","Access to nature",0,0,"human"
"Residential->Bacteria","Sims_Mod_8","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Sediment","Sims_Mod_9","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Flooding","Sims_Mod_10","Transportation","gray","Access to nature",0,0,"human"
"Flooding->Bacteria","Sims_Mod_11","Transportation","gray","Access to nature",0,0,"human"
"Flooding-*Salmon","Sims_Mod_12","Transportation","gray","Access to nature",0,0,"human"
"Water quality->Salmon","Sims_Mod_13","Transportation","gray","Access to nature",0,0,"human"
"Air quality->Physical health","Sims_Mod_14","Transportation","gray","Access to nature",0,0,"human"
"Urban heat island-*Physical health","Sims_Mod_15","Transportation","gray","Access to nature",0,0,"human"
"Nutrients-*Water quality","Sims_Mod_16","Transportation","gray","Access to nature",0,0,"human"
"Flooding->Sediment","Sims_Mod_17","Transportation","gray","Access to nature",0,0,"human"
"Sediment-*Water quality","Sims_Mod_18","Transportation","gray","Access to nature",0,0,"human"
"Mental health->Physical health","Sims_Mod_19","Transportation","gray","Access to nature",0,0,"human"
"Water quality->Physical health","Sims_Mod_20","Transportation","gray","Access to nature",0,0,"human"
"Social cohesion->Mental health","Sims_Mod_21","Transportation","gray","Access to nature",0,0,"human"
"Toxics-*Physical health","Sims_Mod_22","Transportation","gray","Access to nature",0,0,"human"
"Biodiversity->Salmon","Sims_Mod_23","Transportation","gray","Access to nature",0,0,"human"
"Urban heat island-*Biodiversity","Sims_Mod_24","Transportation","gray","Access to nature",0,0,"human"
"Bacteria-*Physical health","Sims_Mod_25","Transportation","gray","Access to nature",0,0,"human"
"Air quality->Social cohesion","Sims_Mod_26","Transportation","gray","Access to nature",0,0,"human"
"Access to nature->Social cohesion","Sims_Mod_27","Transportation","gray","Access to nature",0,0,"human"
"Transportation->Noise","Sims_Mod_28","Transportation","gray","Access to nature",0,0,"human"
"Water quality->Biodiversity","Sims_Mod_29","Transportation","gray","Access to nature",0,0,"human"
"Noise-*Biodiversity","Sims_Mod_30","Transportation","gray","Access to nature",0,0,"human"
"Salmon->Physical health","Sims_Mod_31","Transportation","gray","Access to nature",0,0,"human"
"Climate mitigation->Salmon","Sims_Mod_32","Transportation","gray","Access to nature",0,0,"human"
"Climate mitigation-*Water temperature","Sims_Mod_33","Transportation","gray","Access to nature",0,0,"human"
"Climate mitigation->Biodiversity","Sims_Mod_34","Transportation","gray","Access to nature",-0.001,-0.1,"human"
"Access to nature->Physical health","Sims_Mod_35","Transportation","gray","Access to nature",0,0,"human"
"Flooding-*Air quality","Sims_Mod_36","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Noise","Sims_Mod_37","Transportation","gray","Access to nature",0,0,"human"
"Transportation-*Air quality","Sims_Mod_38","Transportation","gray","Access to nature",0,0,"human"
"Economic wellbeing->Physical health","Sims_Mod_39","Transportation","gray","Access to nature",0,0,"human"
"Affordability->Economic wellbeing","Sims_Mod_40","Transportation","gray","Access to nature",0,0,"human"
"Access to nature-*Affordability","Sims_Mod_41","Transportation","gray","Access to nature",0,0,"human"
"Local foods->Social cohesion","Sims_Mod_42","Transportation","gray","Access to nature",0,0,"human"
"Salmon->Local foods","Sims_Mod_43","Transportation","gray","Access to nature",0,0,"human"
"Water quality->Local foods","Sims_Mod_44","Transportation","gray","Access to nature",0,0,"human"
"Toxics-*Water quality","Sims_Mod_45","Transportation","gray","Access to nature",0,0,"human"
"Local foods->Physical health","Sims_Mod_46","Transportation","gray","Access to nature",0,0,"human"
"Water quality->Social cohesion","Sims_Mod_47","Transportation","gray","Access to nature",0,0,"human"
"Local jobs->Economic wellbeing","Sims_Mod_48","Transportation","gray","Access to nature",0,0,"human"
"Walkability->Climate mitigation","Sims_Mod_49","Transportation","gray","Access to nature",0,0,"human"
"Walkability->Affordability","Sims_Mod_50","Transportation","gray","Access to nature",0,0,"human"
"Access to nature->Walkability","Sims_Mod_51","Transportation","gray","Access to nature",0,0,"human"
"Walkability->Social cohesion","Sims_Mod_52","Transportation","gray","Access to nature",0,0,"human"
"Walkability->Air quality","Sims_Mod_53","Transportation","gray","Access to nature",0,0,"human"
"Walkability-*Noise","Sims_Mod_54","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Water temperature","Sims_Mod_55","Transportation","gray","Access to nature",0,0,"human"
"Toxics-*Biodiversity","Sims_Mod_56","Transportation","gray","Access to nature",0,0,"human"
"Noise-*Physical health","Sims_Mod_57","Transportation","gray","Access to nature",0,0,"human"
"Access to nature->Mental health","Sims_Mod_58","Transportation","gray","Access to nature",0,0,"human"
"Local foods->Affordability","Sims_Mod_59","Transportation","gray","Access to nature",0,0,"human"
"Water temperature-*Water quality","Sims_Mod_60","Transportation","gray","Access to nature",0,0,"human"
"Bacteria-*Water quality","Sims_Mod_61","Transportation","gray","Access to nature",0,0,"human"
"Bacteria-*Local foods","Sims_Mod_62","Transportation","gray","Access to nature",0,0,"human"
"Walkability->Physical health","Sims_Mod_63","Transportation","gray","Access to nature",0,0,"human"
"Flooding-*Property value","Sims_Mod_64","Transportation","gray","Access to nature",0,0,"human"
"Property value-*Affordability","Sims_Mod_65","Transportation","gray","Access to nature",0,0,"human"
"Noise-*Property value","Sims_Mod_66","Transportation","gray","Access to nature",0,0,"human"
"Access to nature->Property value","Sims_Mod_67","Transportation","gray","Access to nature",0,0,"human"
"Industrial-*Property value","Sims_Mod_68","Transportation","gray","Access to nature",0,0,"human"
"Transportation->Property value","Sims_Mod_69","Transportation","gray","Access to nature",0,0,"human"
"Walkability->Property value","Sims_Mod_70","Transportation","gray","Access to nature",0,0,"human"
"Property value->Economic wellbeing","Sims_Mod_71","Transportation","gray","Access to nature",0,0,"human"
"Local jobs->Property value","Sims_Mod_72","Transportation","gray","Access to nature",0,0,"human"
"Gray infrastructure-*Flooding","Sims_Mod_73","Transportation","gray","Access to nature",0,0,"human"
"Gray infrastructure-*Sediment","Sims_Mod_74","Transportation","gray","Access to nature",0,0,"human"
"Gray infrastructure-*Toxics","Sims_Mod_75","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure-*Toxics","Sims_Mod_76","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure->Access to nature","Sims_Mod_77","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure-*Noise","Sims_Mod_79","Transportation","gray","Access to nature",0,0,"human"
"Gray infrastructure->Local jobs","Sims_Mod_80","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure->Local jobs","Sims_Mod_81","Transportation","gray","Access to nature",0,0,"human"
"Source control-*Toxics","Sims_Mod_82","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure-*Flooding","Sims_Mod_83","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure->Air quality","Sims_Mod_84","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Transportation","gray","Access to nature",0,0,"human"
"Toxics-*Salmon","Sims_Mod_86","Transportation","gray","Access to nature",0,0,"human"
"Noise-*Mental health","Sims_Mod_87","Transportation","gray","Access to nature",0,0,"human"
"Urban heat island->Water temperature","Sims_Mod_88","Transportation","gray","Access to nature",0,0,"human"
"Economic wellbeing->Mental health","Sims_Mod_89","Transportation","gray","Access to nature",0,0,"human"
"Biodiversity->Local foods","Sims_Mod_90","Transportation","gray","Access to nature",0,0,"human"
"Local jobs->Social cohesion","Sims_Mod_91","Transportation","gray","Access to nature",0,0,"human"
"Access to nature->Local foods","Sims_Mod_92","Transportation","gray","Access to nature",0,0,"human"
"Local foods->Mental health","Sims_Mod_93","Transportation","gray","Access to nature",0,0,"human"
"Noise-*Social cohesion","Sims_Mod_94","Transportation","gray","Access to nature",0,0,"human"
"Industrial-*Air quality","Sims_Mod_95","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Local jobs","Sims_Mod_96","Transportation","gray","Access to nature",0,0,"human"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Transportation","gray","Access to nature",0,0,"human"
"Industrial->Urban heat island","Sims_Mod_98","Transportation","gray","Access to nature",0,0,"human"
"Transportation->Urban heat island","Sims_Mod_99","Transportation","gray","Access to nature",0,0,"human"
"Green infrastructure-*Sediment","Sims_Mod_100","Transportation","gray","Access to nature",0,0,"human"
"Physical health->Mental health","Sims_Mod_101","Transportation","gray","Access to nature",0,0,"human"
"Salmon->Biodiversity","Sims_Mod_102","Transportation","gray","Access to nature",0,0,"human"
"Physical health->Economic wellbeing","Sims_Mod_103","Transportation","gray","Access to nature",0,0,"human"
"Economic wellbeing->Affordability","Sims_Mod_104","Transportation","gray","Access to nature",0,0,"human"
"Mental health->Economic wellbeing","Sims_Mod_105","Transportation","gray","Access to nature",0,0,"human"
"Residential->Toxics","Sims_Mod_1","Transportation","green","Access to nature",0,0,"human"
"Industrial->Toxics","Sims_Mod_2","Transportation","green","Access to nature",0,0,"human"
"Transportation->Toxics","Sims_Mod_3","Transportation","green","Access to nature",0,0,"human"
"Transportation->Water temperature","Sims_Mod_4","Transportation","green","Access to nature",0,0,"human"
"Transportation->Flooding","Sims_Mod_5","Transportation","green","Access to nature",0,0,"human"
"Residential->Nutrients","Sims_Mod_6","Transportation","green","Access to nature",0,0,"human"
"Residential->Sediment","Sims_Mod_7","Transportation","green","Access to nature",0,0,"human"
"Residential->Bacteria","Sims_Mod_8","Transportation","green","Access to nature",0,0,"human"
"Industrial->Sediment","Sims_Mod_9","Transportation","green","Access to nature",0,0,"human"
"Industrial->Flooding","Sims_Mod_10","Transportation","green","Access to nature",0,0,"human"
"Flooding->Bacteria","Sims_Mod_11","Transportation","green","Access to nature",0,0,"human"
"Flooding-*Salmon","Sims_Mod_12","Transportation","green","Access to nature",0,0,"human"
"Water quality->Salmon","Sims_Mod_13","Transportation","green","Access to nature",0,0,"human"
"Air quality->Physical health","Sims_Mod_14","Transportation","green","Access to nature",0,0,"human"
"Urban heat island-*Physical health","Sims_Mod_15","Transportation","green","Access to nature",0,0,"human"
"Nutrients-*Water quality","Sims_Mod_16","Transportation","green","Access to nature",0,0,"human"
"Flooding->Sediment","Sims_Mod_17","Transportation","green","Access to nature",0,0,"human"
"Sediment-*Water quality","Sims_Mod_18","Transportation","green","Access to nature",0,0,"human"
"Mental health->Physical health","Sims_Mod_19","Transportation","green","Access to nature",0,0,"human"
"Water quality->Physical health","Sims_Mod_20","Transportation","green","Access to nature",0,0,"human"
"Social cohesion->Mental health","Sims_Mod_21","Transportation","green","Access to nature",0,0,"human"
"Toxics-*Physical health","Sims_Mod_22","Transportation","green","Access to nature",0,0,"human"
"Biodiversity->Salmon","Sims_Mod_23","Transportation","green","Access to nature",0,0,"human"
"Urban heat island-*Biodiversity","Sims_Mod_24","Transportation","green","Access to nature",0,0,"human"
"Bacteria-*Physical health","Sims_Mod_25","Transportation","green","Access to nature",0,0,"human"
"Air quality->Social cohesion","Sims_Mod_26","Transportation","green","Access to nature",0,0,"human"
"Access to nature->Social cohesion","Sims_Mod_27","Transportation","green","Access to nature",0,0,"human"
"Transportation->Noise","Sims_Mod_28","Transportation","green","Access to nature",0,0,"human"
"Water quality->Biodiversity","Sims_Mod_29","Transportation","green","Access to nature",0,0,"human"
"Noise-*Biodiversity","Sims_Mod_30","Transportation","green","Access to nature",0,0,"human"
"Salmon->Physical health","Sims_Mod_31","Transportation","green","Access to nature",0,0,"human"
"Climate mitigation->Salmon","Sims_Mod_32","Transportation","green","Access to nature",0,0,"human"
"Climate mitigation-*Water temperature","Sims_Mod_33","Transportation","green","Access to nature",0,0,"human"
"Climate mitigation->Biodiversity","Sims_Mod_34","Transportation","green","Access to nature",0,0,"human"
"Access to nature->Physical health","Sims_Mod_35","Transportation","green","Access to nature",0,0,"human"
"Flooding-*Air quality","Sims_Mod_36","Transportation","green","Access to nature",0,0,"human"
"Industrial->Noise","Sims_Mod_37","Transportation","green","Access to nature",0,0,"human"
"Transportation-*Air quality","Sims_Mod_38","Transportation","green","Access to nature",0,0,"human"
"Economic wellbeing->Physical health","Sims_Mod_39","Transportation","green","Access to nature",0,0,"human"
"Affordability->Economic wellbeing","Sims_Mod_40","Transportation","green","Access to nature",0,0,"human"
"Access to nature-*Affordability","Sims_Mod_41","Transportation","green","Access to nature",0,0,"human"
"Local foods->Social cohesion","Sims_Mod_42","Transportation","green","Access to nature",0,0,"human"
"Salmon->Local foods","Sims_Mod_43","Transportation","green","Access to nature",0,0,"human"
"Water quality->Local foods","Sims_Mod_44","Transportation","green","Access to nature",0,0,"human"
"Toxics-*Water quality","Sims_Mod_45","Transportation","green","Access to nature",0,0,"human"
"Local foods->Physical health","Sims_Mod_46","Transportation","green","Access to nature",0,0,"human"
"Water quality->Social cohesion","Sims_Mod_47","Transportation","green","Access to nature",0,0,"human"
"Local jobs->Economic wellbeing","Sims_Mod_48","Transportation","green","Access to nature",0,0,"human"
"Walkability->Climate mitigation","Sims_Mod_49","Transportation","green","Access to nature",0,0,"human"
"Walkability->Affordability","Sims_Mod_50","Transportation","green","Access to nature",0,0,"human"
"Access to nature->Walkability","Sims_Mod_51","Transportation","green","Access to nature",0,0,"human"
"Walkability->Social cohesion","Sims_Mod_52","Transportation","green","Access to nature",0,0,"human"
"Walkability->Air quality","Sims_Mod_53","Transportation","green","Access to nature",0,0,"human"
"Walkability-*Noise","Sims_Mod_54","Transportation","green","Access to nature",0,0,"human"
"Industrial->Water temperature","Sims_Mod_55","Transportation","green","Access to nature",0,0,"human"
"Toxics-*Biodiversity","Sims_Mod_56","Transportation","green","Access to nature",0,0,"human"
"Noise-*Physical health","Sims_Mod_57","Transportation","green","Access to nature",0,0,"human"
"Access to nature->Mental health","Sims_Mod_58","Transportation","green","Access to nature",0,0,"human"
"Local foods->Affordability","Sims_Mod_59","Transportation","green","Access to nature",0,0,"human"
"Water temperature-*Water quality","Sims_Mod_60","Transportation","green","Access to nature",0,0,"human"
"Bacteria-*Water quality","Sims_Mod_61","Transportation","green","Access to nature",0,0,"human"
"Bacteria-*Local foods","Sims_Mod_62","Transportation","green","Access to nature",0,0,"human"
"Walkability->Physical health","Sims_Mod_63","Transportation","green","Access to nature",0,0,"human"
"Flooding-*Property value","Sims_Mod_64","Transportation","green","Access to nature",0,0,"human"
"Property value-*Affordability","Sims_Mod_65","Transportation","green","Access to nature",0,0,"human"
"Noise-*Property value","Sims_Mod_66","Transportation","green","Access to nature",0,0,"human"
"Access to nature->Property value","Sims_Mod_67","Transportation","green","Access to nature",0,0,"human"
"Industrial-*Property value","Sims_Mod_68","Transportation","green","Access to nature",0,0,"human"
"Transportation->Property value","Sims_Mod_69","Transportation","green","Access to nature",0,0,"human"
"Walkability->Property value","Sims_Mod_70","Transportation","green","Access to nature",0,0,"human"
"Property value->Economic wellbeing","Sims_Mod_71","Transportation","green","Access to nature",0,0,"human"
"Local jobs->Property value","Sims_Mod_72","Transportation","green","Access to nature",0,0,"human"
"Gray infrastructure-*Flooding","Sims_Mod_73","Transportation","green","Access to nature",0,0,"human"
"Gray infrastructure-*Sediment","Sims_Mod_74","Transportation","green","Access to nature",0,0,"human"
"Gray infrastructure-*Toxics","Sims_Mod_75","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure-*Toxics","Sims_Mod_76","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure->Access to nature","Sims_Mod_77","Transportation","green","Access to nature",-1,-100,"human"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure-*Noise","Sims_Mod_79","Transportation","green","Access to nature",0,0,"human"
"Gray infrastructure->Local jobs","Sims_Mod_80","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure->Local jobs","Sims_Mod_81","Transportation","green","Access to nature",0,0,"human"
"Source control-*Toxics","Sims_Mod_82","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure-*Flooding","Sims_Mod_83","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure->Air quality","Sims_Mod_84","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Transportation","green","Access to nature",0,0,"human"
"Toxics-*Salmon","Sims_Mod_86","Transportation","green","Access to nature",0,0,"human"
"Noise-*Mental health","Sims_Mod_87","Transportation","green","Access to nature",0,0,"human"
"Urban heat island->Water temperature","Sims_Mod_88","Transportation","green","Access to nature",0,0,"human"
"Economic wellbeing->Mental health","Sims_Mod_89","Transportation","green","Access to nature",0,0,"human"
"Biodiversity->Local foods","Sims_Mod_90","Transportation","green","Access to nature",0,0,"human"
"Local jobs->Social cohesion","Sims_Mod_91","Transportation","green","Access to nature",0,0,"human"
"Access to nature->Local foods","Sims_Mod_92","Transportation","green","Access to nature",0,0,"human"
"Local foods->Mental health","Sims_Mod_93","Transportation","green","Access to nature",0,0,"human"
"Noise-*Social cohesion","Sims_Mod_94","Transportation","green","Access to nature",0,0,"human"
"Industrial-*Air quality","Sims_Mod_95","Transportation","green","Access to nature",0,0,"human"
"Industrial->Local jobs","Sims_Mod_96","Transportation","green","Access to nature",0,0,"human"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Transportation","green","Access to nature",0,0,"human"
"Industrial->Urban heat island","Sims_Mod_98","Transportation","green","Access to nature",0,0,"human"
"Transportation->Urban heat island","Sims_Mod_99","Transportation","green","Access to nature",0,0,"human"
"Green infrastructure-*Sediment","Sims_Mod_100","Transportation","green","Access to nature",0,0,"human"
"Physical health->Mental health","Sims_Mod_101","Transportation","green","Access to nature",0,0,"human"
"Salmon->Biodiversity","Sims_Mod_102","Transportation","green","Access to nature",0,0,"human"
"Physical health->Economic wellbeing","Sims_Mod_103","Transportation","green","Access to nature",0,0,"human"
"Economic wellbeing->Affordability","Sims_Mod_104","Transportation","green","Access to nature",0,0,"human"
"Mental health->Economic wellbeing","Sims_Mod_105","Transportation","green","Access to nature",0,0,"human"
"Residential->Toxics","Sims_Mod_1","Transportation","source","Affordability",-0.002,-0.2,"human"
